ID	NAME
601	Wing_Of_Fly
602	Wing_Of_Butterfly
603	Old_Blue_Box
604	Branch_Of_Dead_Tree
605	Anodyne
606	Aloebera
607	Yggdrasilberry
608	Seed_Of_Yggdrasil
609	Amulet
610	Leaf_Of_Yggdrasil
611	Spectacles
612	Portable_Furnace
613	Iron_Hammer
614	Golden_Hammer
615	Oridecon_Hammer
616	Old_Card_Album
617	Old_Violet_Box
618	Worn_Out_Scroll
619	Unripe_Apple
620	Orange_Juice
621	Bitter_Herb
622	Rainbow_Carrot
623	Earthworm_The_Dude
624	Rotten_Fish
625	Lusty_Iron
626	Monster_Juice
627	Sweet_Milk
628	Well_Dried_Bone
629	Singing_Flower
630	Dew_Laden_Moss
631	Deadly_Noxious_Herb
632	Fatty_Chubby_Earthworm
633	Baked_Yam
634	Tropical_Banana
635	Horror_Of_Tribe
636	No_Recipient
637	Old_Broom
638	Silver_Knife_Of_Chaste
639	Armlet_Of_Obedience
640	Shining_Stone
641	Contracts_In_Shadow
642	Book_Of_Devil
643	Pet_Incubator
644	Gift_Box
645	Center_Potion
656	Awakening_Potion
657	Berserk_Potion
658	Union_Of_Tribe
659	Heart_Of_Her
660	Prohibition_Red_Candle
661	Sway_Apron
662	Inspector_Certificate
663	Korea_Rice_Cake
664	Gift_Box_1
665	Gift_Box_2
666	Gift_Box_3
667	Gift_Box_4
668	Handsei
669	Rice_Cake_Soup
670	Gold_Coin_Moneybag
671	Gold_Coin
672	Copper_Coin_Moneybag
673	Copper_Coin
674	Mithril_Coin
675	Silver_Coin
676	Silver_Coin_Moneybag
677	White_Gold_Coin
678	Poison_Bottle
679	Gold_Pill
680	Magical_Carnation
681	Memory_Of_Wedding
682	Realgar_Wine
683	Exorcize_Herb
684	Durian
685	RAMADAN
686	Earth_Scroll_1_3
687	Earth_Scroll_1_5
688	Cold_Scroll_1_3
689	Cold_Scroll_1_5
690	Fire_Scroll_1_3
691	Fire_Scroll_1_5
692	Wind_Scroll_1_3
693	Wind_Scroll_1_5
694	Ghost_Scroll_1_3
695	Ghost_Scroll_1_5
696	Fire_Scroll_2_1
697	Fire_Scroll_2_5
698	Fire_Scroll_3_1
699	Fire_Scroll_3_5
700	Cold_Scroll_2_1
9518	iRo_2018_Dec_C_Box
9524	iRO_2018_Dec_S_Box
9543	201901_IRO_Costume_Box
9544	2019_Jan_USA_Oversea
9563	2019_Feb_Costume_Box
9565	2019_Feb_USA_Oversea
9600	2019_Apr_USA_Oversee
9610	E_Mysterious_Water
9618	2019_May_Costume_Box
9620	2019_May_USA_Oversea
9621	2019_May_USA_Oversea_2
9629	2019_June_USA_Oversea
9630	2019_June_Costume_Box
9636	2019_July_Costume_Box
9645	2019_July_Costume_Box2
9654	2019_July_USA_Oversea
9655	2019_July_USA_Oversea_2
9664	2019_Aug_Costume_Box
9665	2019_Aug_Oversea
9670	2019_Aug_Oversea_2
9673	2019_Aug_Costume_Box_2
9702	2019_Sep_Costume_Box
9728	RUPREMIUM_30d
9729	RUPREMIUM_7d
9730	RUPREMIUM_1d
9731	RU_Premium_Box_90d
9732	Ru_Premium_Box_60d
9733	RU_Premium_Box_30d
9736	Wing_Of_Mistress
9737	RT_Launch_Box
9862	Comp_Job_Manual50
9895	DF_Abrasive
9908	DF_Mental_Potion
9923	Def_Scroll_US
9924	Comp_Def_Scroll_US
9944	2020_Oct_MagicBox_RU
9946	2020_Halloween_RU
9947	Fish_In_Mouth_Box_7d
9960	FuturisticBox_Prime
12000	Cold_Scroll_2_5
12001	Holy_Scroll_1_3
12002	Holy_Scroll_1_5
12003	Holy_Scroll_2_1
12004	Arrow_Container
12005	Iron_Arrow_Container
12006	Steel_Arrow_Container
12007	Ori_Arrow_Container
12008	Fire_Arrow_Container
12009	Silver_Arrow_Container
12010	Wind_Arrow_Container
12011	Stone_Arrow_Container
